Player,,,Team
James Harden,"James Harden,","if James Harden then HOU else end,",HOU
Stephen Curry,"Stephen Curry,","if Stephen Curry then GSW else end,",GSW
Giannis Antetokounmpo,"Giannis Antetokounmpo,","if Giannis Antetokounmpo then MIL else end,",MIL
Damian Lillard,"Damian Lillard,","if Damian Lillard then POR else end,",POR
Anthony Davis,"Anthony Davis,","if Anthony Davis then LAL else end,",LAL
Bradley Beal,"Bradley Beal,","if Bradley Beal then WAS else end,",WAS
LeBron James,"LeBron James,","if LeBron James then LAL else end,",LAL
Karl-Anthony Towns,"Karl-Anthony Towns,","if Karl-Anthony Towns then MIN else end,",MIN
Devin Booker,"Devin Booker,","if Devin Booker then PHO else end,",PHO
Donovan Mitchell,"Donovan Mitchell,","if Donovan Mitchell then UTH else end,",UTH
Kemba Walker,"Kemba Walker,","if Kemba Walker then BOS else end,",BOS
Kawhi Leonard,"Kawhi Leonard,","if Kawhi Leonard then LAC else end,",LAC
Kyrie Irving,"Kyrie Irving,","if Kyrie Irving then BKN else end,",BKN
Joel Embiid,"Joel Embiid,","if Joel Embiid then PHI else end,",PHI
DeMar DeRozan,"DeMar DeRozan,","if DeMar DeRozan then SAS else end,",SAS
CJ McCollum,"CJ McCollum,","if CJ McCollum then POR else end,",POR
LaMarcus Aldridge,"LaMarcus Aldridge,","if LaMarcus Aldridge then SAS else end,",SAS
Russell Westbrook,"Russell Westbrook,","if Russell Westbrook then HOU else end,",HOU
Jimmy Butler,"Jimmy Butler,","if Jimmy Butler then MIA else end,",MIA
Paul George,"Paul George,","if Paul George then LAC else end,",LAC
Jrue Holiday,"Jrue Holiday,","if Jrue Holiday then NOR else end,",NOR
Luka Doncic,"Luka Doncic,","if Luka Doncic then DAL else end,",DAL
Blake Griffin,"Blake Griffin,","if Blake Griffin then DET else end,",DET
Nikola Jokic,"Nikola Jokic,","if Nikola Jokic then DEN else end,",DEN
Buddy Hield,"Buddy Hield,","if Buddy Hield then SAC else end,",SAC
Zach LaVine,"Zach LaVine,","if Zach LaVine then CHI else end,",CHI
Trae Young,"Trae Young,","if Trae Young then ATL else end,",ATL
Julius Randle,"Julius Randle,","if Julius Randle then NYK else end,",NYK
D'Angelo Russell,"D'Angelo Russell,","if D'Angelo Russell then GSW else end,",GSW
Tobias Harris,"Tobias Harris,","if Tobias Harris then PHI else end,",PHI
Khris Middleton,"Khris Middleton,","if Khris Middleton then MIL else end,",MIL
John Collins,"John Collins,","if John Collins then ATL else end,",ATL
Mike Conley,"Mike Conley,","if Mike Conley then UTH else end,",UTH
Nikola Vucevic,"Nikola Vucevic,","if Nikola Vucevic then ORL else end,",ORL
Lou Williams,"Lou Williams,","if Lou Williams then LAC else end,",LAC
Jamal Murray,"Jamal Murray,","if Jamal Murray then DEN else end,",DEN
Zion Williamson,"Zion Williamson,","if Zion Williamson then NOR else end,",NOR
Andre Drummond,"Andre Drummond,","if Andre Drummond then DET else end,",DET
De'Aaron Fox,"De'Aaron Fox,","if De'Aaron Fox then SAC else end,",SAC
Collin Sexton,"Collin Sexton,","if Collin Sexton then CLE else end,",CLE
